"RiskPercent","WinRate","RewardRiskRatio","EndBalance"
0.014,36,8,2577858.94463346
0.025,23,9,2576304.71849637
0.017,32,8,2569928.61796895
0.021,37,6,2569518.20710908
0.018,35,7,2568106.77585396
0.018,40,6,2566500.18249843
0.027,27,7,2562230.45322991
0.021,29,8,2560183.52467533
0.011,39,9,2547076.67430643
0.02,33,7,2544855.52816389
0.024,39,5,2528699.54266937
0.015,35,8,2525831.32966959
0.026,27,7,2521498.28468842
0.027,20,10,2519129.87445722
0.022,35,6,2516049.23853089
0.011,36,10,2508676.54508599
0.016,30,9,2504784.07982875
0.023,22,10,2501674.49191432
0.023,29,7,2497235.89612868
0.028,19,10,2494095.86818381
0.023,30,7,2492648.36800008
0.01,39,10,2491458.67446362
0.028,24,8,2487832.6561385
0.025,38,5,2486178.0300104
0.013,35,9,2484035.62742994
0.018,31,8,2483369.2189281
0.024,33,6,2480156.0042009
0.026,37,5,2479795.89055741
0.017,29,9,2464124.23901043
0.029,24,8,2448799.003661
0.026,32,6,2448485.06551569
0.023,40,5,2448075.21388815
0.013,31,10,2443620.90647849
0.03,30,6,2438836.72728774
0.018,27,9,2436247.93997567
0.013,39,8,2433321.22932418
0.028,30,6,2426650.97559864
0.028,27,7,2425977.1660356
0.012,33,10,2423696.96127155
0.016,31,9,2418203.81950875
0.016,27,10,2404943.36395871
0.021,36,6,2398070.97578768
0.021,25,9,2397109.35422653
0.028,35,5,2389582.69101598
0.03,35,5,2384675.89830338
0.019,27,9,2378293.83542454
0.017,36,7,2374884.07226406
0.019,38,6,2374502.73967482
0.014,33,9,2370168.10386265
0.022,27,8,2369794.1334318
0.016,33,8,2365572.40769209
0.027,22,9,2358024.66484166
0.012,40,8,2355027.62266597
0.022,30,7,2350430.14705823
0.018,30,8,2346563.41284822
0.028,20,10,2345277.55646743
0.028,31,6,2338005.33588002
0.011,35,10,2335907.9356519
0.024,26,8,2329906.42865505
0.014,32,9,2327444.92197108
0.016,37,7,2325207.33262604
0.014,40,7,2325018.23099727
0.021,28,8,2320705.18560117
0.024,32,6,2315169.14615962
0.028,21,9,2304298.80660132
0.014,29,10,2296305.16941883
0.026,22,9,2291756.47419217
0.025,25,8,2289714.91650684
0.023,33,6,2284551.79078796
0.018,25,10,2278379.08940478
0.017,26,10,2274865.51831604
0.012,37,9,2267933.55117066
0.027,36,5,2265529.26867421
0.029,35,5,2264568.0123808
0.012,36,9,2254373.17899393
0.018,34,7,2249618.04061732
0.01,37,10,2244348.64966583
0.015,34,8,2240016.59751626
0.02,37,6,2226574.01691598
0.011,38,9,2224886.2517637
0.015,28,10,2224088.25586117
0.029,21,9,2222952.77360972
0.023,26,8,2215563.15167228
0.021,31,7,2211170.27415323
0.017,40,6,2210707.5848043
0.024,23,9,2209251.54420755
0.02,32,7,2207276.14084742
0.027,31,6,2207058.6537055
0.029,23,8,2206270.42897585
0.029,26,7,2206267.03817814
0.013,38,8,2205648.94360746
0.023,39,5,2204432.91584999
0.025,32,6,2203634.74259108
0.027,24,8,2202425.53314287
0.016,29,9,2189971.36305551
0.019,24,10,2176303.85608398
0.02,26,9,2170926.90205657
0.018,38,6,2167943.65889246
0.022,40,5,2167408.12073566
0.015,31,9,2165298.223793
0.019,33,7,2161668.46923456
0.025,28,7,2157446.49375484
0.01,40,9,2154884.43110124
0.015,39,7,2153827.45069134
0.02,25,9,2149342.99224592
0.019,37,6,2146322.72668344
0.016,36,7,2145146.58495997
0.022,24,9,2136874.57219454
0.023,34,6,2124978.04692628
0.015,27,10,2116746.9184497
0.02,28,8,2116744.67619372
0.016,32,8,2114382.63201198
0.019,28,8,2108769.47584876
0.02,36,6,2108319.88295169
0.013,34,9,2103433.40911639
0.027,19,10,2102155.56062227
0.027,21,9,2094159.65960709
0.017,35,7,2092863.19261175
0.024,21,10,2090857.63619385
0.025,37,5,2083053.87523603
0.009,40,10,2077222.3540685
0.013,30,10,2073269.92826397
0.012,35,9,2072824.67731672
0.026,36,5,2072735.96705519
0.024,29,7,2060568.49032189
0.028,26,7,2060299.93477242
0.011,33,10,2059828.85186682
0.017,31,8,2058875.58749458
0.019,29,8,2051892.96824185
0.03,34,5,2046548.93276108
0.011,37,9,2044274.65488423
0.024,28,7,2040895.77116304
0.018,39,6,2040768.17104593
0.022,26,8,2038957.84951725
0.023,21,10,2033411.02988805
0.012,32,10,2030961.81720309
0.014,39,7,2028192.96326019
0.024,20,10,2025726.68545421
0.017,28,9,2023382.11073003
0.024,22,9,2021700.34872337
0.025,31,6,2019122.04113714
0.016,26,10,2017084.06731179
0.022,22,10,2013480.3520031
0.013,37,8,2013356.57102041
0.019,26,9,2012364.26092187
0.014,35,8,2006399.77092688
0.015,33,8,2005395.59525497
0.019,32,7,2000514.72371807
0.015,30,9,1999917.15298849
0.03,22,8,1999251.49333679
0.025,22,9,1986979.60209264
0.021,35,6,1984037.92379068
0.029,25,7,1983126.58442299
0.02,31,7,1983025.08306496
0.012,39,8,1981442.2438359
0.03,18,10,1977218.10766954
0.024,38,5,1968487.18962613
0.028,29,6,1963993.91595663
0.019,31,7,1961394.62246971
0.028,23,8,1958631.79989636
0.029,20,9,1956944.14270743
