"RiskPercent","WinRate","RewardRiskRatio","EndBalance"
0.02,26,8,1443033.46013043
0.03,32,5,1441040.33303838
0.028,22,8,1440668.15457923
0.009,36,10,1440340.94961186
0.009,40,9,1438629.27994016
0.025,26,7,1437965.8062365
0.023,24,8,1437958.5708711
0.03,23,7,1427428.41202389
0.029,24,7,1426923.7432955
0.008,39,10,1423016.8860423
0.03,19,9,1420748.70479905
0.012,29,10,1420462.46065728
0.011,39,8,1417649.65134244
0.02,39,5,1417585.03235995
0.027,22,8,1415830.93537263
0.027,33,5,1414311.3452386
0.025,19,10,1411727.90594191
0.024,35,5,1407628.30947286
0.023,36,5,1404129.73817602
0.014,26,10,1403278.87864302
0.025,34,5,1400085.9147978
0.011,37,8,1399528.33625202
0.012,40,7,1399284.86209707
0.017,32,7,1395788.65852776
0.021,25,8,1393677.22868333
0.015,25,10,1392447.57574575
0.02,23,9,1384741.91975221
0.015,39,6,1384590.92708152
0.021,31,6,1384270.15698156
0.017,25,9,1382964.10800628
0.024,21,9,1380857.54575514
0.021,32,6,1378182.15460155
0.025,23,8,1374546.17191524
0.015,33,7,1373618.94682191
0.019,40,5,1372669.59691993
0.012,32,9,1372055.87675458
0.017,26,9,1371266.64912579
0.026,29,6,1368133.834082
0.014,28,9,1367615.52725388
0.022,24,8,1367229.48850486
0.011,31,10,1367023.55854886
0.023,22,9,1363469.66953085
0.015,30,8,1363348.60529743
0.009,39,9,1363030.05171734
0.016,24,10,1360288.05777933
0.012,35,8,1359426.86601103
0.024,26,7,1358853.79711817
0.023,27,7,1358748.77109332
0.013,33,8,1357564.84623619
0.028,27,6,1353698.51989237
0.026,33,5,1352089.9743956
0.017,31,7,1350988.07890074
0.019,34,6,1349597.40015872
0.018,23,10,1348764.18739811
0.028,21,8,1345995.08576998
0.021,37,5,1343155.78667704
0.014,36,7,1332852.67383397
0.021,20,10,1332004.42065906
0.03,31,5,1331375.71045014
0.029,38,4,1326917.96737938
0.009,35,10,1325451.97636188
0.026,40,4,1322410.82045788
0.028,19,9,1320749.56513044
0.013,37,7,1320667.42613175
0.019,24,9,1320262.36471731
0.011,30,10,1319909.4661999
0.023,26,7,1319357.06545871
0.028,18,10,1315335.77088048
0.027,39,4,1312672.00898452
0.019,39,5,1310010.56759661
0.019,27,8,1306853.92462847
0.016,33,7,1305787.22068105
0.022,36,5,1304155.20051986
0.019,29,7,1303442.20167128
0.01,36,9,1303350.38914511
0.013,27,10,1301112.29859921
0.013,29,9,1300593.74709664
0.01,40,8,1297083.36747472
0.018,35,6,1296839.64148554
0.018,31,7,1292604.99850951
0.013,30,9,1292171.66743265
0.022,31,6,1292058.03959573
0.01,35,9,1289097.76779942
0.013,28,10,1288160.66997127
0.017,36,6,1286715.17269318
0.017,23,10,1286604.72984738
0.01,32,10,1283854.18526635
0.028,38,4,1283737.25156719
0.016,37,6,1283648.43011948
0.017,28,8,1283603.09480235
0.021,28,7,1279138.24330713
0.023,30,6,1275941.90580024
0.018,40,5,1273296.6712954
0.015,34,7,1267548.82715124
0.019,23,9,1266253.08046718
0.015,27,9,1266022.38592125
0.023,23,8,1264893.12636573
0.027,31,5,1264811.41881731
0.027,20,9,1264651.70690224
0.03,24,7,1263119.57523213
0.03,37,4,1259828.43540643
0.012,28,10,1258106.76021595
0.02,33,6,1258033.07914508
0.027,32,5,1256646.33162407
0.025,40,4,1251030.90399759
0.03,16,10,1250581.76645131
0.012,39,7,1249473.23532806
0.017,35,6,1246047.12259167
0.019,33,6,1244476.34172563
0.018,29,7,1243339.04401656
0.029,37,4,1243136.09457056
0.013,26,10,1242948.35017385
0.019,21,10,1240975.8349289
0.029,32,5,1240721.22908971
0.016,32,7,1235891.40131463
0.02,28,7,1233318.30570444
0.019,26,8,1233087.62455188
0.028,24,7,1228563.54901731
0.016,29,8,1225450.13117896
0.024,30,6,1223193.92678315
0.017,27,8,1222307.10870513
0.016,28,8,1221927.88112619
0.02,25,8,1220748.89691247
0.014,40,6,1220537.72388103
0.029,27,6,1220145.05259935
0.008,38,10,1219980.15920681
0.013,32,8,1219086.10310262
0.02,38,5,1215816.83051803
0.022,23,8,1214190.72877508
0.021,22,9,1212077.88161827
0.022,27,7,1211083.98765117
0.023,35,5,1206456.41379856
0.014,31,8,1206292.00694794
0.03,17,10,1206058.690239
0.016,36,6,1205641.06650663
0.024,34,5,1204977.41627505
0.029,26,6,1202941.77642001
0.026,28,6,1202390.3684902
0.024,29,6,1198795.73006192
0.028,32,5,1198445.18161735
0.014,25,10,1193885.75691937
0.011,33,9,1192772.0310026
0.029,31,5,1190004.44586453
0.014,39,6,1189841.88882517
0.018,30,7,1187375.4887382
0.027,28,6,1185624.87590623
0.02,37,5,1184151.74589654
0.03,26,6,1182420.81682973
0.009,38,9,1179230.77008203
0.015,38,6,1177937.863558
0.026,22,8,1177329.73932052
0.012,34,8,1176335.3044956
0.024,22,8,1175486.99306477
0.026,20,9,1172590.11246244
0.026,39,4,1171873.28363259
0.029,36,4,1171415.83715178
0.011,32,9,1170684.07624831
0.01,39,8,1167488.68099208
0.016,26,9,1166364.3658184
0.025,25,7,1165775.8050193
0.009,34,10,1161993.20359586
0.022,30,6,1161874.57830182
0.02,32,6,1161589.49327972
0.016,23,10,1159109.07993514
0.007,40,10,1158630.1004211
0.018,24,9,1156959.08371014
0.018,26,8,1156568.51829269
0.025,20,9,1155643.54910043
0.026,32,5,1151487.98056364
0.013,36,7,1146544.18548926
0.02,24,8,1144204.72361429
0.029,23,7,1142243.59823523
0.014,34,7,1140773.85778591
0.012,31,9,1140650.70596398
0.023,20,9,1139736.95655212
0.022,22,9,1139622.69380504
0.017,34,6,1138344.0842618
0.021,23,8,1132240.45667227
0.01,34,9,1132009.68710458
0.023,21,9,1131907.0159804
0.014,35,7,1129337.3959799
0.023,19,10,1128437.43068396
0.025,28,6,1127808.79039239
0.012,38,7,1127540.83470223
0.009,37,9,1127359.89978809
0.017,22,10,1124647.4828176
0.015,32,7,1122927.90946018
0.023,29,6,1121827.04365993
0.027,38,4,1119440.74701701
0.022,19,10,1116242.85562667
0.018,23,9,1114072.55516977
0.024,40,4,1113374.77551631
0.015,29,8,1112045.17214493
0.019,28,7,1111265.55115071
0.015,24,10,1110894.41948536
0.008,37,10,1110386.85763724
0.017,24,9,1108911.85626581
0.024,18,10,1104489.47010632
0.025,24,7,1100132.07475007
0.028,31,5,1100091.07135087
0.023,40,4,1099032.58246665
0.024,33,5,1098938.84162558
0.018,39,5,1098233.05363993
0.02,21,10,1097747.34405839
0.021,24,8,1096465.65219834
0.021,36,5,1095255.39910739
0.015,23,10,1092727.21166349
0.022,26,7,1091708.91297233
0.011,29,10,1090327.06626162
0.01,31,10,1089850.29335588
0.029,17,10,1089258.6292217
0.014,30,8,1085198.60865842
0.014,38,6,1085165.65755988
0.011,40,7,1083422.82596988
0.017,40,5,1082142.61189567
0.015,37,6,1080795.78085195
0.02,22,9,1078653.53852421
0.016,25,9,1078468.15409716
0.024,20,9,1076100.63343859
0.03,36,4,1074705.89420435
0.014,24,10,1073602.92328413
0.025,18,10,1069697.99662933
0.008,36,10,1069169.40503895
0.013,28,9,1068892.30585293
0.024,28,6,1067657.4802139
0.008,40,9,1064782.07110043
0.026,25,7,1064308.97948189
0.011,39,7,1061721.86222441
0.021,30,6,1061032.62016289
0.009,33,10,1059825.29157557
0.022,29,6,1059381.75755614
0.019,38,5,1058588.22650027
0.02,20,10,1057485.40000881
0.014,27,9,1055710.12943447
0.009,36,9,1055698.00718319
0.03,20,8,1055003.05210104
0.013,31,8,1054521.85593007
0.022,35,5,1051786.42199761
0.018,34,6,1049533.1485366
0.019,22,9,1049280.82434582
0.009,40,8,1047997.27699993
0.028,36,4,1047976.0605829
0.02,31,6,1047326.86717759
0.025,33,5,1045170.18080316
0.029,30,5,1044494.10316645
0.028,18,9,1044211.86422031
0.011,35,8,1044155.08810671
0.023,18,10,1043400.32227707
0.026,31,5,1042130.18355083
0.011,28,10,1040093.95848156
0.026,38,4,1038472.28988669
0.027,30,5,1038097.44696341
0.021,35,5,1037516.95603309
0.019,32,6,1037269.01710199
0.016,27,8,1032563.04947541
0.015,26,9,1032519.8743064
0.026,37,4,1030406.846518
0.022,21,9,1030028.19357208
0.01,30,10,1028155.64230398
0.028,23,7,1027158.20774007
0.012,30,9,1026391.80010127
0.021,27,7,1023151.15218449
0.01,37,8,1022858.63970022
0.01,38,8,1021938.80279401
0.026,19,9,1021792.21511307
0.008,38,9,1017333.24207424
0.025,39,4,1016683.32896046
0.013,25,10,1016102.37756362
0.013,40,6,1014418.08129844
0.023,34,5,1013984.27762335
0.017,30,7,1012743.67621144
0.008,39,9,1012463.29784823
0.018,38,5,1011720.25382117
0.011,36,8,1011607.06500058
0.012,33,8,1011331.11053655
0.03,30,5,1011038.32071501
0.029,18,9,1011009.95556806
0.017,33,6,1010681.83601229
0.025,22,8,1010194.58741056
0.017,26,8,1009650.09927491
0.027,23,7,1008549.34216486
0.018,25,8,1007874.95916936
0.024,39,4,1007862.31927843
0.028,37,4,1004890.28703814
0.03,35,4,1004587.87829395
0.012,37,7,1002965.53634008
0.012,27,10,1002694.14493515
0.018,32,6,995459.58016542
0.02,27,7,995447.258839106
0.013,34,7,995378.202920964
0.011,34,8,994730.627565726
0.023,33,5,994590.961613332
0.017,39,5,990280.6703478
0.03,25,6,989255.722396674
0.016,31,7,986709.651045425
0.024,19,9,984746.635840689
0.026,21,8,983372.463353874
0.019,37,5,979655.398479494
0.024,25,7,975037.282232211
0.013,27,9,974696.481140078
0.023,25,7,972305.78400459
0.025,32,5,971141.051067365
0.015,25,9,969514.410980473
0.018,33,6,969476.677600268
0.02,30,6,965684.255065364
0.026,30,5,965476.598044263
0.023,39,4,962930.459944358
0.01,29,10,960402.537913492
0.019,31,6,960297.570736363
0.021,26,7,959913.031119399
0.01,36,8,958700.998874638
0.015,36,6,957904.547848972
0.013,39,6,955304.289201192
0.016,22,10,955224.313661607
0.009,32,10,954284.48489151
0.027,20,8,953134.120227383
0.015,28,8,952211.845058606
0.02,36,5,948489.490210356
0.028,26,6,947782.63233946
0.027,26,6,946969.495602005
0.027,21,8,943923.193928672
0.013,35,7,942997.702714482
0.022,33,5,942686.258061136
0.014,29,8,942435.418009645
0.014,33,7,942016.243771922
0.007,39,10,941203.236868807
0.01,32,9,939947.639459439
0.012,29,9,938091.969558487
0.027,37,4,938052.647648149
0.009,38,8,937954.279307776
0.02,21,9,937841.241585018
0.008,35,10,937826.108851003
0.018,24,8,937058.08870388
0.027,27,6,936298.67895354
0.017,38,5,936273.346786894
0.029,20,8,935647.666430474
0.026,27,6,935489.486175828
0.018,21,10,935368.321937566
0.022,20,9,935074.797498167
0.012,26,10,934978.51375455
0.009,39,8,934921.178978691
0.017,29,7,934694.115980039
0.011,38,7,933750.847104128
0.023,19,9,933215.929461843
0.028,17,10,931989.065245113
0.019,25,8,931711.173748179
0.019,23,8,930120.365669343
0.016,24,9,927964.149324809
0.026,23,7,927885.152977979
0.015,31,7,925729.093118863
0.012,40,6,923260.602376575
0.025,38,4,922269.523848912
0.02,35,5,921573.210290381
0.021,29,6,921453.124042783
0.029,22,7,920739.477812591
0.016,40,5,918462.259623982
0.01,40,7,918328.457729439
0.016,34,6,917448.043162748
0.017,21,10,917406.500956152
0.019,20,10,916775.011278093
0.022,34,5,914508.597597113
0.026,24,7,914483.395063356
0.029,16,10,914183.304006406
0.023,24,7,913381.335642573
0.025,21,8,913000.771651
0.01,33,9,912178.927909988
0.015,35,6,911796.31917149
0.018,37,5,910146.395743074
0.019,36,5,909712.863323843
0.012,36,7,909442.393946374
0.008,34,10,907792.893824318
0.02,19,10,906678.133797825
0.025,31,5,906423.096801458
0.007,37,10,906363.985424192
0.014,37,6,906173.700072443
0.027,19,9,905161.176946399
0.011,31,9,904115.57568768
0.028,22,7,902113.400661747
0.007,38,10,901493.355685811
0.008,37,9,900886.165388213
0.03,18,9,898286.505055332
0.028,30,5,897831.106170632
0.016,35,6,897133.700314023
0.017,25,8,896134.089544923
0.017,23,9,895229.409915973
0.011,27,10,894165.736906885
0.014,26,9,893782.220762119
0.016,29,7,890715.379822447
0.009,35,9,889019.611507956
0.021,21,9,888515.561931983
0.015,22,10,887733.930408446
0.009,31,10,886899.33049448
0.014,28,8,886036.037888862
0.01,35,8,884928.863700493
0.025,23,7,883022.183096156
0.023,28,6,882679.113703828
0.03,29,5,881843.952708954
0.027,17,10,881446.175141453
0.011,29,9,879601.789689349
0.03,22,7,879422.539239467
0.026,18,9,878899.03046646
0.016,39,5,876271.398896693
0.021,20,9,875560.711725777
0.013,38,6,875415.205096195
0.021,18,10,875168.907871267
0.016,21,10,874812.421600398
0.025,20,8,872860.760253874
0.018,20,10,872791.280239581
0.014,25,9,870333.984216954
0.018,28,7,870117.705444403
0.012,28,9,869818.226099513
0.021,33,5,868702.012145169
0.024,24,7,867347.703323772
0.011,30,9,867118.444064252
0.012,32,8,861065.189920083
0.011,37,7,858886.873007954
0.015,30,7,858353.167091902
0.022,19,9,858255.573644297
0.024,38,4,858206.459369685
0.011,26,10,858143.637579627
0.011,33,8,854964.76331554
0.027,36,4,851198.545912716
0.012,35,7,851173.078625049
0.026,22,7,850322.78446619
0.02,26,7,849703.182813302
0.014,36,6,846944.072964548
0.016,26,8,846568.038393976
0.022,22,8,845367.746829489
0.021,34,5,844962.114452275
0.01,39,7,844361.154870545
0.024,27,6,844009.066494393
0.009,34,9,841544.630148106
0.013,30,8,840473.924962001
0.018,22,9,839982.281488173
0.017,32,6,838512.772937591
0.028,20,8,836373.183585634
0.021,40,4,836159.616803128
0.025,19,9,835255.077063933
0.019,35,5,834240.655284706
0.01,31,9,833698.76313441
0.013,29,8,830702.101692567
0.013,33,7,830670.577231713
0.025,26,6,826108.724161878
0.01,34,8,825699.993555694
0.022,25,7,825380.141716437
0.024,21,8,825092.06774204
0.018,27,7,824994.931427519
0.028,35,4,821488.756614393
0.024,32,5,820505.406336829
0.021,28,6,820474.492263048
0.017,28,7,819231.373828472
0.025,27,6,818916.279077052
0.013,37,6,817679.510402701
0.012,31,8,817582.630216735
0.008,33,10,817567.886542124
0.009,37,8,816669.769638515
0.021,19,10,816626.884835952
0.019,21,9,812044.380337309
0.019,30,6,811117.863998142
0.016,38,5,810734.582220607
0.007,40,9,809133.86213076
0.022,40,4,807153.087402558
0.022,32,5,806772.727937698
0.03,34,4,803464.62088688
0.007,36,10,802570.161711256
0.008,40,8,802082.385996261
0.029,29,5,801881.770158777
0.015,27,8,799014.9039922
0.029,35,4,797821.926061911
0.026,36,4,797681.028504574
0.024,26,6,797177.588256926
0.021,25,7,796701.478711003
0.024,18,9,795514.553735449
0.014,32,7,795502.110856024
0.021,22,8,795350.683762023
0.027,29,5,794719.438319675
0.011,40,6,794257.293796618
0.017,37,5,793714.33681571
0.017,36,5,792097.359078767
0.029,25,6,792068.702559963
0.019,24,8,790742.139185289
0.016,33,6,790523.586969623
0.027,22,7,790278.751014165
0.021,19,9,790014.121216831
0.03,19,8,788399.247765881
0.012,27,9,788341.563254131
0.009,33,9,788050.904746628
0.011,36,7,787942.928453203
0.013,24,10,787873.988438837
0.016,28,7,786760.97739667
0.014,31,7,786645.893256944
0.018,36,5,785859.721026555
0.009,30,10,785256.776761764
0.016,30,7,784750.408718533
0.017,31,6,784477.676717695
0.023,37,4,783837.844834022
0.024,31,5,783571.723012138
0.015,40,5,779764.331039704
0.012,39,6,779211.426162188
0.025,37,4,779108.830601068
0.014,23,10,778304.682089821
0.018,31,6,777711.450797067
0.02,23,8,777229.533279827
0.01,38,7,776972.735079696
0.011,32,8,776710.120197169
0.012,25,10,776272.775051972
0.029,24,6,776163.220366976
0.008,39,8,775959.709312514
0.01,33,8,773212.942555454
0.021,39,4,772857.214327373
0.023,32,5,771647.830653548
0.025,17,10,771432.5018497
0.026,17,10,770395.534185567
0.01,28,10,769970.294002215
0.019,27,7,769410.209509236
0.019,26,7,769410.209509235
0.028,29,5,769321.103152422
0.008,32,10,768742.532316672
0.012,34,7,768109.613245903
0.018,21,9,767735.695382607
0.018,35,5,767414.331272628
0.022,28,6,766794.223416018
0.03,28,5,766396.19941447
0.023,38,4,766021.393437639
0.011,25,10,765927.681593259
0.007,39,9,765079.724068796
0.024,37,4,764854.899854839
0.008,36,9,762827.656180506
0.027,18,9,761659.299315935
0.006,40,10,759927.247406746
0.015,24,9,759334.130518017
0.023,27,6,758777.562398949
0.013,26,9,758510.381859278
0.03,21,7,757936.201349002
0.028,16,10,756077.950063163
0.022,39,4,753957.380118316
0.023,31,5,753763.795946818
0.016,25,8,751249.220011187
0.014,24,9,750365.22988403
0.03,23,6,749915.480399494
0.027,19,8,749504.734564991
0.017,22,9,747700.441722185
0.006,39,10,747494.655047295
0.009,29,10,747347.898129541
0.028,25,6,744873.008991305
0.026,20,8,744550.733814546
0.026,26,6,743894.188475406
0.016,23,9,743029.165356717
0.012,30,8,742685.238112579
0.022,38,4,742439.154219988
0.015,34,6,742255.674099461
0.016,37,5,738669.437294446
0.02,29,6,737135.634408749
0.015,21,10,736823.070951396
0.02,33,5,736398.872336446
0.012,38,6,734727.768375834
0.008,35,9,734686.704053349
0.025,18,9,733528.874616649
0.026,35,4,733070.395033215
0.014,30,7,731435.292345134
0.017,27,7,730832.844569816
0.029,34,4,730313.479393459
0.025,36,4,728273.042214009
0.025,30,5,728229.026508328
0.02,28,6,727910.576290613
0.02,34,5,727618.385255959
0.01,30,9,727000.313323842
0.029,17,9,724579.324996932
0.029,21,7,723504.488997144
0.026,16,10,723468.89398813
0.03,17,9,721802.377982672
0.016,32,6,721182.485608595
0.013,32,7,721150.913195175
0.02,40,4,720379.421912066
0.024,36,4,720328.766174937
0.012,33,7,719585.920301832
0.028,34,4,719224.872285736
0.02,20,9,718951.01358218
0.007,35,10,718915.587652742
0.024,23,7,718679.326069805
0.013,23,10,717980.558991982
0.013,36,6,717937.654277076
0.03,24,6,717586.531260059
0.018,26,7,717499.754149708
0.009,36,8,717430.169734868
0.024,20,8,717098.177886631
0.009,32,9,717014.948522716
0.023,22,8,716193.647209081
0.015,29,7,716155.350260078
0.027,25,6,716039.606373597
0.027,35,4,714238.137334082
0.023,21,8,711763.419495481
0.015,33,6,711737.738188185
0.014,40,5,710984.857663778
0.019,19,10,710592.989701231
0.015,25,8,710515.817644811
0.011,35,7,709003.519894576
0.012,24,10,707794.521948851
0.017,30,6,707354.592691696
0.015,26,8,705738.484877721
0.013,31,7,705577.727349065
0.019,34,5,704766.108818458
0.017,24,8,702724.320373162
0.009,40,7,702636.989288217
0.027,16,10,701451.1727874
0.01,37,7,701370.280480108
0.026,25,6,699285.419077754
0.026,29,5,695890.319180125
0.007,37,9,695135.564540531
0.019,40,4,694919.416926611
0.024,30,5,694339.206655093
0.008,31,10,694167.186344867
0.028,17,9,694140.757480348
0.008,38,8,694041.552256008
0.022,18,9,693457.162303982
0.021,32,5,693363.792647142
0.028,21,7,692731.144973973
0.009,35,8,692319.005225134
0.021,27,6,691907.493918824
0.019,25,7,691791.668128293
0.015,39,5,691199.086140063
0.01,29,9,688798.307118104
0.014,27,8,687884.969018855
0.011,34,7,687506.063935407
0.008,34,9,687502.449894604
0.013,27,8,687331.994990124
0.022,18,10,684964.469061873
0.016,22,9,684841.531538506
0.016,36,5,684080.13848505
0.011,28,9,683058.521492152
0.011,39,6,683023.277669331
0.019,22,8,682668.658575163
0.019,29,6,682385.971448682
0.023,23,7,681840.058112988
0.018,19,10,681568.442976892
0.018,30,6,681376.529603711
0.01,26,10,680758.309277772
0.012,29,8,680500.826190651
0.02,25,7,680358.866921804
0.014,22,10,679721.643690825
0.019,33,5,679528.951953125
0.014,26,8,678421.254283477
0.014,34,6,678071.32321292
0.03,15,10,677487.493814703
0.012,26,9,676954.830428033
0.012,37,6,676116.219142369
0.029,19,8,675409.79083505
0.007,38,9,674529.430561951
0.011,31,8,674216.770396099
0.007,33,10,673901.739363749
0.026,34,4,670200.345552796
0.024,17,10,669197.572983225
0.02,32,5,667414.472185043
0.022,24,7,667156.375243306
0.006,38,10,665979.1256584
0.021,24,7,665696.051825744
0.028,19,8,665127.863362865
0.007,34,10,664117.385515604
0.017,20,10,664003.798659063
0.014,21,10,663188.242626725
0.016,24,8,662835.963154124
0.025,22,7,662198.96692344
0.02,24,7,661055.412688902
0.013,28,8,660538.568994513
0.017,21,9,660493.127960298
0.028,28,5,660313.003748768
0.016,20,10,660245.688895108
0.02,19,9,658433.506289208
0.014,35,6,658432.99560338
0.01,27,10,657945.875726292
0.022,21,8,657539.691344447
0.03,33,4,657223.093407893
0.018,23,8,656268.226674908
0.017,19,10,655375.184703655
0.014,29,7,654698.808915199
0.03,14,10,653367.657647894
0.023,26,6,653318.44874378
0.015,20,10,652186.217673991
0.016,31,6,652057.337701413
0.021,37,4,650634.815405529
0.009,31,9,650623.84356276
0.01,36,7,650056.156782062
0.008,30,10,649846.759970319
0.015,22,9,648742.788899891
0.017,26,7,647556.758151039
0.008,37,8,647236.252790341
0.014,39,5,646619.289420229
0.013,25,9,645638.819069174
0.013,35,6,645449.721817408
0.017,35,5,645312.036762788
0.021,31,5,644519.762892294
0.015,38,5,644354.438020296
0.012,28,8,644047.289768043
0.024,29,5,643342.482317772
0.024,16,10,643242.660646684
0.006,37,10,643091.983702365
0.011,38,6,641735.409787955
0.03,40,3,640381.104980777
0.02,22,8,640002.222370784
0.01,32,8,638946.82177998
0.015,37,5,638582.989586684
0.019,28,6,638503.400367537
0.015,28,7,638262.037392771
0.009,30,9,636726.007602603
0.02,38,4,635756.435176277
0.029,28,5,635197.690415804
0.013,30,7,634589.468911969
0.02,39,4,633219.248136297
0.03,20,7,633183.951857895
0.013,40,5,631721.45652006
0.009,39,7,631178.898302746
0.023,36,4,630761.048835918
0.021,17,10,630621.881557224
0.01,28,9,630166.502243103
0.025,35,4,630006.647945488
0.015,32,6,628826.844618766
0.022,27,6,628708.453639219
0.029,33,4,628125.13670258
0.026,19,8,627733.819148183
0.027,28,5,627407.81059007
0.017,34,5,627148.705497901
0.009,38,7,626651.948884829
0.009,37,7,625300.205995176
0.027,34,4,624918.048334152
0.01,31,8,624174.149687324
0.021,38,4,623882.31158486
0.027,24,6,623817.905415396
0.029,15,10,623737.547137163
0.03,16,9,623237.374975382
0.012,36,6,623226.125340931
0.029,27,5,623162.527686174
0.011,24,10,622081.2417195
0.012,23,10,621952.439681433
0.018,29,6,621525.177188434
0.015,23,9,621143.662184561
0.022,17,10,620325.939830091
0.008,33,9,620110.942132229
0.025,21,7,619935.540684843
0.01,40,6,619934.715219125
0.022,37,4,619926.184894221
0.009,27,10,619861.792213299
0.012,32,7,619535.38531317
0.016,27,7,619355.421027677
0.012,31,7,618941.130517294
0.013,22,10,618816.892483733
0.011,30,8,618597.499013631
0.014,33,6,618418.060615916
0.013,24,9,617737.252729607
0.018,34,5,617713.620210888
0.019,18,10,616526.419320699
0.014,25,8,616498.137043557
0.03,15,9,615812.072090837
0.027,21,7,615249.837264793
0.018,33,5,614388.150354374
0.027,17,9,613838.730338926
0.019,39,4,613623.372907226
0.007,40,8,613303.492967385
0.009,28,10,612544.348730172
0.011,27,9,611936.737175626
0.007,36,9,610722.772068136
0.021,26,6,610676.774915071
0.018,20,9,609848.907492432
0.017,23,8,609573.329132441
0.022,20,8,608711.554620882
0.011,33,7,607839.753811171
0.017,29,6,607454.196852197
0.028,33,4,607192.064094617
0.026,15,10,606039.189340347
0.023,20,8,605718.522261735
0.011,26,9,605245.247284938
0.019,38,4,604943.702383249
0.025,34,4,604556.921889507
0.028,24,6,604039.975550935
0.019,27,6,603028.310442194
0.01,25,10,602544.936227386
0.025,15,10,602463.539169698
0.023,35,4,602412.82362149
0.01,35,7,602014.651591754
0.015,24,8,601862.079543172
0.029,18,8,600635.720575685
0.014,38,5,600557.496343184
0.008,29,10,600381.374726981
0.009,34,8,600361.350083749
0.022,23,7,600338.754606639
0.014,23,9,599014.723398018
0.026,21,7,598466.092521076
0.028,15,10,598459.506684559
0.012,25,9,597565.804500606
0.025,29,5,597476.235043519
0.008,36,8,596675.938782609
0.011,37,6,596021.299125583
0.02,21,8,595571.824818335
0.024,22,7,595493.562432756
0.023,18,9,594815.198373837
0.007,39,8,594290.12292111
0.015,27,7,593941.775039079
0.023,16,10,593853.842298562
0.023,30,5,593744.316459491
0.029,40,3,593663.390601328
0.03,18,8,592354.126457838
0.016,30,6,590879.377308463
0.024,25,6,590245.013652061
0.021,23,7,589897.808610527
0.025,25,6,589448.449335294
0.017,40,4,589302.733597384
0.025,17,9,588800.035859988
0.015,31,6,588590.516028495
0.013,34,6,587718.306690537
0.007,35,9,586841.22354887
0.019,19,9,585814.434967846
0.021,30,5,585687.092713385
0.016,21,9,585512.613018193
0.014,20,10,584559.374132497
0.021,16,10,584378.203310938
0.025,19,8,583694.643939729
0.028,40,3,582600.106430068
0.021,21,8,582402.667945578
0.018,32,5,582102.368335816
0.026,24,6,581934.75608321
0.02,18,10,581602.334253411
0.006,40,9,581485.334783622
0.022,31,5,579327.339719246
0.024,19,8,577896.024386986
0.023,17,10,577571.354199694
0.022,36,4,577162.57986123
0.016,26,7,576533.630613948
0.012,35,6,576406.326147632
0.017,18,10,576097.241043624
0.022,26,6,575901.060894353
0.019,24,7,575632.589660626
0.03,27,5,574713.632552711
0.016,35,5,574448.787967455
0.024,35,4,573518.245642399
0.008,32,9,572907.190634744
0.018,40,4,572522.046662086
0.016,23,8,572337.999421704
0.017,25,7,572211.977914818
0.03,32,4,571683.916593379
0.01,34,7,571518.798384699
0.006,36,10,571451.521508878
0.018,28,6,570512.424783836
0.005,40,10,570152.331984326
0.025,16,10,568693.717486516
0.022,16,10,568619.316349859
0.019,20,9,568286.761365726
0.008,35,8,567765.257510414
0.028,27,5,567703.093766519
0.007,32,10,567606.48818517
0.026,28,5,567328.346867574
0.022,30,5,566477.599293843
0.028,32,4,562998.454297289
0.015,36,5,560982.944155661
0.008,28,10,560567.562486251
0.01,30,8,560297.1090783
0.02,17,10,560270.977117773
0.008,40,7,559706.715611574
0.018,18,10,559227.776568726
0.012,27,8,558509.702591774
0.014,28,7,558470.640318301
0.024,17,9,557872.051468685
0.007,31,10,557216.689883674
0.011,28,8,556994.405034058
0.014,37,5,555906.443045587
0.019,17,10,554242.431662524
0.022,25,6,554161.983181858
0.025,24,6,553480.544953275
0.018,39,4,552283.200494334
0.009,32,8,551873.165217416
0.015,21,9,551771.179495853
0.01,24,10,551202.532123506
0.02,31,5,550864.023167334
0.028,18,8,550685.704330286
0.024,28,5,549930.821881855
0.018,19,9,549432.715535828
0.025,18,8,549319.950930863
0.022,35,4,548693.875264979
0.011,29,8,548244.464083146
0.013,26,8,547816.639676754
0.028,20,7,547651.573422029
0.027,27,5,547624.67827718
0.007,34,9,547560.90142776
0.01,38,6,547326.387852813
0.03,26,5,546482.395913298
0.02,27,6,546383.760746523
0.008,39,7,546262.024502455
0.013,38,5,545578.485327998
0.01,39,6,545033.009739196
0.011,32,7,542153.4159186
0.018,22,8,541266.043448849
0.019,32,5,541036.3261197
0.013,33,6,541024.552654179
0.027,33,4,540897.055484072
0.009,33,8,540375.829147261
0.023,25,6,540337.430400276
0.006,39,9,539478.938731702
0.013,39,5,538393.722509825
0.007,38,8,537996.470959831
0.021,20,8,537990.206085213
0.029,20,7,537755.904655667
0.028,23,6,537066.866446397
0.013,29,7,535673.244084381
0.019,21,8,535580.349434139
0.012,40,5,533835.803058039
0.01,27,9,533815.585268791
0.02,26,6,533539.697502168
0.023,19,8,532817.294490717
0.03,39,3,532359.427531751
0.027,23,6,532299.100897811
0.013,21,10,531826.875173916
0.008,38,7,531777.520711037
0.012,22,10,531587.802094733
0.03,22,6,531561.280026471
